,Unnamed: 0,number,locus_coverage,sum_coverage,clust_threshold
2,2,3,67425,67425,../rana2brad/clust_84_outfiles/clust_84_stats.txt
3,3,4,39803,107228,../rana2brad/clust_84_outfiles/clust_84_stats.txt
4,4,5,34016,141244,../rana2brad/clust_84_outfiles/clust_84_stats.txt
5,5,6,22605,163849,../rana2brad/clust_84_outfiles/clust_84_stats.txt
6,6,7,20023,183872,../rana2brad/clust_84_outfiles/clust_84_stats.txt
7,7,8,13841,197713,../rana2brad/clust_84_outfiles/clust_84_stats.txt
8,8,9,10956,208669,../rana2brad/clust_84_outfiles/clust_84_stats.txt
9,9,10,6056,214725,../rana2brad/clust_84_outfiles/clust_84_stats.txt
10,10,11,3728,218453,../rana2brad/clust_84_outfiles/clust_84_stats.txt
11,11,12,2322,220775,../rana2brad/clust_84_outfiles/clust_84_stats.txt
0,0,1,0,0,../rana2brad/clust_85_outfiles/clust_85_stats.txt
1,1,2,0,0,../rana2brad/clust_85_outfiles/clust_85_stats.txt
2,2,3,67648,67648,../rana2brad/clust_85_outfiles/clust_85_stats.txt
3,3,4,39972,107620,../rana2brad/clust_85_outfiles/clust_85_stats.txt
4,4,5,33987,141607,../rana2brad/clust_85_outfiles/clust_85_stats.txt
5,5,6,22750,164357,../rana2brad/clust_85_outfiles/clust_85_stats.txt
6,6,7,19936,184293,../rana2brad/clust_85_outfiles/clust_85_stats.txt
7,7,8,13923,198216,../rana2brad/clust_85_outfiles/clust_85_stats.txt
8,8,9,10972,209188,../rana2brad/clust_85_outfiles/clust_85_stats.txt
9,9,10,6075,215263,../rana2brad/clust_85_outfiles/clust_85_stats.txt
10,10,11,3751,219014,../rana2brad/clust_85_outfiles/clust_85_stats.txt
11,11,12,2308,221322,../rana2brad/clust_85_outfiles/clust_85_stats.txt
0,0,1,0,0,../rana2brad/clust_86_outfiles/clust_86_stats.txt
1,1,2,0,0,../rana2brad/clust_86_outfiles/clust_86_stats.txt
2,2,3,67784,67784,../rana2brad/clust_86_outfiles/clust_86_stats.txt
3,3,4,40103,107887,../rana2brad/clust_86_outfiles/clust_86_stats.txt
4,4,5,34179,142066,../rana2brad/clust_86_outfiles/clust_86_stats.txt
5,5,6,22632,164698,../rana2brad/clust_86_outfiles/clust_86_stats.txt
6,6,7,19918,184616,../rana2brad/clust_86_outfiles/clust_86_stats.txt
7,7,8,13898,198514,../rana2brad/clust_86_outfiles/clust_86_stats.txt
8,8,9,10949,209463,../rana2brad/clust_86_outfiles/clust_86_stats.txt
9,9,10,5977,215440,../rana2brad/clust_86_outfiles/clust_86_stats.txt
10,10,11,3725,219165,../rana2brad/clust_86_outfiles/clust_86_stats.txt
11,11,12,2300,221465,../rana2brad/clust_86_outfiles/clust_86_stats.txt
0,0,1,0,0,../rana2brad/clust_87_outfiles/clust_87_stats.txt
1,1,2,0,0,../rana2brad/clust_87_outfiles/clust_87_stats.txt
2,2,3,72814,72814,../rana2brad/clust_87_outfiles/clust_87_stats.txt
3,3,4,42666,115480,../rana2brad/clust_87_outfiles/clust_87_stats.txt
4,4,5,36519,151999,../rana2brad/clust_87_outfiles/clust_87_stats.txt
5,5,6,24045,176044,../rana2brad/clust_87_outfiles/clust_87_stats.txt
6,6,7,21109,197153,../rana2brad/clust_87_outfiles/clust_87_stats.txt
7,7,8,14538,211691,../rana2brad/clust_87_outfiles/clust_87_stats.txt
8,8,9,11610,223301,../rana2brad/clust_87_outfiles/clust_87_stats.txt
9,9,10,6188,229489,../rana2brad/clust_87_outfiles/clust_87_stats.txt
10,10,11,3838,233327,../rana2brad/clust_87_outfiles/clust_87_stats.txt
11,11,12,2315,235642,../rana2brad/clust_87_outfiles/clust_87_stats.txt
0,0,1,0,0,../rana2brad/clust_88_outfiles/clust_88_stats.txt
1,1,2,0,0,../rana2brad/clust_88_outfiles/clust_88_stats.txt
2,2,3,72954,72954,../rana2brad/clust_88_outfiles/clust_88_stats.txt
3,3,4,43047,116001,../rana2brad/clust_88_outfiles/clust_88_stats.txt
4,4,5,36563,152564,../rana2brad/clust_88_outfiles/clust_88_stats.txt
5,5,6,23978,176542,../rana2brad/clust_88_outfiles/clust_88_stats.txt
6,6,7,21005,197547,../rana2brad/clust_88_outfiles/clust_88_stats.txt
7,7,8,14696,212243,../rana2brad/clust_88_outfiles/clust_88_stats.txt
8,8,9,11570,223813,../rana2brad/clust_88_outfiles/clust_88_stats.txt
9,9,10,6129,229942,../rana2brad/clust_88_outfiles/clust_88_stats.txt
10,10,11,3771,233713,../rana2brad/clust_88_outfiles/clust_88_stats.txt
11,11,12,2360,236073,../rana2brad/clust_88_outfiles/clust_88_stats.txt
0,0,1,0,0,../rana2brad/clust_89_outfiles/clust_89_stats.txt
1,1,2,0,0,../rana2brad/clust_89_outfiles/clust_89_stats.txt
2,2,3,81434,81434,../rana2brad/clust_89_outfiles/clust_89_stats.txt
3,3,4,47318,128752,../rana2brad/clust_89_outfiles/clust_89_stats.txt
4,4,5,40210,168962,../rana2brad/clust_89_outfiles/clust_89_stats.txt
5,5,6,26256,195218,../rana2brad/clust_89_outfiles/clust_89_stats.txt
6,6,7,22797,218015,../rana2brad/clust_89_outfiles/clust_89_stats.txt
7,7,8,15604,233619,../rana2brad/clust_89_outfiles/clust_89_stats.txt
8,8,9,12159,245778,../rana2brad/clust_89_outfiles/clust_89_stats.txt
9,9,10,6317,252095,../rana2brad/clust_89_outfiles/clust_89_stats.txt
10,10,11,3852,255947,../rana2brad/clust_89_outfiles/clust_89_stats.txt
11,11,12,2238,258185,../rana2brad/clust_89_outfiles/clust_89_stats.txt
0,0,1,0,0,../rana2brad/clust_90_outfiles/clust_90_stats.txt
1,1,2,0,0,../rana2brad/clust_90_outfiles/clust_90_stats.txt
2,2,3,82268,82268,../rana2brad/clust_90_outfiles/clust_90_stats.txt
3,3,4,47754,130022,../rana2brad/clust_90_outfiles/clust_90_stats.txt
4,4,5,40740,170762,../rana2brad/clust_90_outfiles/clust_90_stats.txt
5,5,6,26436,197198,../rana2brad/clust_90_outfiles/clust_90_stats.txt
6,6,7,22942,220140,../rana2brad/clust_90_outfiles/clust_90_stats.txt
7,7,8,15546,235686,../rana2brad/clust_90_outfiles/clust_90_stats.txt
8,8,9,12148,247834,../rana2brad/clust_90_outfiles/clust_90_stats.txt
9,9,10,6336,254170,../rana2brad/clust_90_outfiles/clust_90_stats.txt
10,10,11,3878,258048,../rana2brad/clust_90_outfiles/clust_90_stats.txt
11,11,12,2238,260286,../rana2brad/clust_90_outfiles/clust_90_stats.txt
0,0,1,0,0,../rana2brad/clust_91_outfiles/clust_91_stats.txt
1,1,2,0,0,../rana2brad/clust_91_outfiles/clust_91_stats.txt
2,2,3,82472,82472,../rana2brad/clust_91_outfiles/clust_91_stats.txt
3,3,4,47612,130084,../rana2brad/clust_91_outfiles/clust_91_stats.txt
4,4,5,40668,170752,../rana2brad/clust_91_outfiles/clust_91_stats.txt
5,5,6,26442,197194,../rana2brad/clust_91_outfiles/clust_91_stats.txt
6,6,7,22948,220142,../rana2brad/clust_91_outfiles/clust_91_stats.txt
7,7,8,15615,235757,../rana2brad/clust_91_outfiles/clust_91_stats.txt
8,8,9,12171,247928,../rana2brad/clust_91_outfiles/clust_91_stats.txt
9,9,10,6342,254270,../rana2brad/clust_91_outfiles/clust_91_stats.txt
10,10,11,3898,258168,../rana2brad/clust_91_outfiles/clust_91_stats.txt
11,11,12,2222,260390,../rana2brad/clust_91_outfiles/clust_91_stats.txt
0,0,1,0,0,../rana2brad/clust_93_outfiles/clust_93_stats.txt
1,1,2,0,0,../rana2brad/clust_93_outfiles/clust_93_stats.txt
2,2,3,99708,99708,../rana2brad/clust_93_outfiles/clust_93_stats.txt
3,3,4,57136,156844,../rana2brad/clust_93_outfiles/clust_93_stats.txt
4,4,5,47339,204183,../rana2brad/clust_93_outfiles/clust_93_stats.txt
5,5,6,29544,233727,../rana2brad/clust_93_outfiles/clust_93_stats.txt
6,6,7,25174,258901,../rana2brad/clust_93_outfiles/clust_93_stats.txt
7,7,8,16536,275437,../rana2brad/clust_93_outfiles/clust_93_stats.txt
8,8,9,12331,287768,../rana2brad/clust_93_outfiles/clust_93_stats.txt
9,9,10,6196,293964,../rana2brad/clust_93_outfiles/clust_93_stats.txt
10,10,11,3636,297600,../rana2brad/clust_93_outfiles/clust_93_stats.txt
11,11,12,1968,299568,../rana2brad/clust_93_outfiles/clust_93_stats.txt
0,0,1,0,0,../rana2brad/clust_95_outfiles/clust_95_stats.txt
1,1,2,0,0,../rana2brad/clust_95_outfiles/clust_95_stats.txt
2,2,3,128320,128320,../rana2brad/clust_95_outfiles/clust_95_stats.txt
3,3,4,70392,198712,../rana2brad/clust_95_outfiles/clust_95_stats.txt
4,4,5,57501,256213,../rana2brad/clust_95_outfiles/clust_95_stats.txt
5,5,6,32708,288921,../rana2brad/clust_95_outfiles/clust_95_stats.txt
6,6,7,26488,315409,../rana2brad/clust_95_outfiles/clust_95_stats.txt
7,7,8,15744,331153,../rana2brad/clust_95_outfiles/clust_95_stats.txt
8,8,9,11341,342494,../rana2brad/clust_95_outfiles/clust_95_stats.txt
9,9,10,5082,347576,../rana2brad/clust_95_outfiles/clust_95_stats.txt
10,10,11,2850,350426,../rana2brad/clust_95_outfiles/clust_95_stats.txt
11,11,12,1476,351902,../rana2brad/clust_95_outfiles/clust_95_stats.txt
