,Unnamed: 0,sample,state,reads_raw,reads_passed,clust_total,clust_hidepth,hetero_est,error_est,reads_consens,loci_assembly,clust_threshold
4,4,Eant_T6859a,7,7208562,7173683,976708,153567,0.015803,0.004195,130776,17571,../epiddrad/clust_85_outfiles/clust_85_stats.txt
5,5,Eant_T6859b,7,6156931,6126704,785723,134720,0.01522,0.004291,115758,17333,../epiddrad/clust_85_outfiles/clust_85_stats.txt
6,6,Ebou_R0153,7,6398901,6370393,711891,132816,0.015547,0.004484,113112,9741,../epiddrad/clust_85_outfiles/clust_85_stats.txt
7,7,Ebou_R0156,7,4954025,4932452,570143,114511,0.014622,0.004547,98604,9449,../epiddrad/clust_85_outfiles/clust_85_stats.txt
8,8,Etri_T6836,7,8212760,8176976,1037370,160607,0.015535,0.00416,136194,16411,../epiddrad/clust_85_outfiles/clust_85_stats.txt
9,9,Etri_T6842,7,7063949,7033092,888657,148673,0.014929,0.004271,126852,16226,../epiddrad/clust_85_outfiles/clust_85_stats.txt
10,10,Snub_R0158,7,6485058,6452447,822457,133993,0.015286,0.003918,113470,2057,../epiddrad/clust_85_outfiles/clust_85_stats.txt
11,11,Snub_R0159,7,4068699,4049115,508384,92746,0.014016,0.004124,80063,1942,../epiddrad/clust_85_outfiles/clust_85_stats.txt
0,0,Ahah_R0089a,7,7869047,7827474,1094184,174267,0.016359,0.00485,144862,522,../epiddrad/clust_86_outfiles/clust_86_stats.txt
1,1,Ahah_R0089b,7,7381407,7342302,1120741,172735,0.01624,0.004875,143577,519,../epiddrad/clust_86_outfiles/clust_86_stats.txt
2,2,Ahah_R0090,7,7112002,7074480,980894,162555,0.01574,0.004716,136395,539,../epiddrad/clust_86_outfiles/clust_86_stats.txt
3,3,Eant_T6857,7,7769532,7731347,1044615,162803,0.015063,0.004106,139000,17295,../epiddrad/clust_86_outfiles/clust_86_stats.txt
4,4,Eant_T6859a,7,7208562,7173683,1002139,155789,0.014729,0.004124,133909,18178,../epiddrad/clust_86_outfiles/clust_86_stats.txt
5,5,Eant_T6859b,7,6156931,6126704,806484,136950,0.014345,0.004235,118510,17957,../epiddrad/clust_86_outfiles/clust_86_stats.txt
6,6,Ebou_R0153,7,6398901,6370393,733777,135476,0.014729,0.004412,116098,9996,../epiddrad/clust_86_outfiles/clust_86_stats.txt
7,7,Ebou_R0156,7,4954025,4932452,586887,116781,0.013936,0.004498,101111,9688,../epiddrad/clust_86_outfiles/clust_86_stats.txt
8,8,Etri_T6836,7,8212760,8176976,1064968,163122,0.014403,0.00415,139517,16977,../epiddrad/clust_86_outfiles/clust_86_stats.txt
9,9,Etri_T6842,7,7063949,7033092,912083,150867,0.013901,0.004257,129859,16781,../epiddrad/clust_86_outfiles/clust_86_stats.txt
10,10,Snub_R0158,7,6485058,6452447,845474,136131,0.014192,0.003889,116240,2051,../epiddrad/clust_86_outfiles/clust_86_stats.txt
11,11,Snub_R0159,7,4068699,4049115,522466,94240,0.013002,0.004071,81914,1932,../epiddrad/clust_86_outfiles/clust_86_stats.txt
0,0,Ahah_R0089a,7,7869047,7827474,1125248,177496,0.015327,0.004689,148964,517,../epiddrad/clust_87_outfiles/clust_87_stats.txt
1,1,Ahah_R0089b,7,7381407,7342302,1151275,175746,0.015143,0.004722,147630,511,../epiddrad/clust_87_outfiles/clust_87_stats.txt
2,2,Ahah_R0090,7,7112002,7074480,1007657,165720,0.01472,0.004576,140347,531,../epiddrad/clust_87_outfiles/clust_87_stats.txt
3,3,Eant_T6857,7,7769532,7731347,1073755,165414,0.014002,0.00401,142398,17963,../epiddrad/clust_87_outfiles/clust_87_stats.txt
4,4,Eant_T6859a,7,7208562,7173683,1028611,158177,0.01388,0.003977,137008,18872,../epiddrad/clust_87_outfiles/clust_87_stats.txt
5,5,Eant_T6859b,7,6156931,6126704,827804,139083,0.013422,0.004113,121265,18649,../epiddrad/clust_87_outfiles/clust_87_stats.txt
6,6,Ebou_R0153,7,6398901,6370393,757019,138379,0.014027,0.004329,119084,10281,../epiddrad/clust_87_outfiles/clust_87_stats.txt
7,7,Ebou_R0156,7,4954025,4932452,605146,119247,0.01332,0.004468,103592,9967,../epiddrad/clust_87_outfiles/clust_87_stats.txt
8,8,Etri_T6836,7,8212760,8176976,1093281,165536,0.013528,0.004004,142718,17592,../epiddrad/clust_87_outfiles/clust_87_stats.txt
9,9,Etri_T6842,7,7063949,7033092,936283,153358,0.012964,0.004162,132974,17430,../epiddrad/clust_87_outfiles/clust_87_stats.txt
10,10,Snub_R0158,7,6485058,6452447,869187,138060,0.01308,0.0038,118926,2037,../epiddrad/clust_87_outfiles/clust_87_stats.txt
11,11,Snub_R0159,7,4068699,4049115,537988,95903,0.012149,0.004021,83850,1919,../epiddrad/clust_87_outfiles/clust_87_stats.txt
0,0,Ahah_R0089a-6M,7,6000000,5999852,1072731,144021,0.031942,0.008427,114135,53,../epiddrad/clust_89_outfiles/clust_89_stats.txt
1,1,Ahah_R0089b-6M,7,6000000,5999855,1127549,152097,0.029869,0.008222,120852,52,../epiddrad/clust_89_outfiles/clust_89_stats.txt
2,2,Ahah_R0090,7,7112002,7111794,1082676,186985,0.02698,0.007943,150610,61,../epiddrad/clust_89_outfiles/clust_89_stats.txt
3,3,Eant_T6857,7,7769532,7769290,1140360,185619,0.025702,0.007659,151147,5104,../epiddrad/clust_89_outfiles/clust_89_stats.txt
4,4,Eant_T6859a,7,7208562,7208352,1087734,177356,0.025755,0.007547,145057,5582,../epiddrad/clust_89_outfiles/clust_89_stats.txt
5,5,Eant_T6859b,7,6156931,6156773,874177,155854,0.026448,0.007575,127967,5563,../epiddrad/clust_89_outfiles/clust_89_stats.txt
6,6,Ebou_R0153,7,6398901,6398724,815880,157062,0.027391,0.007924,127980,1848,../epiddrad/clust_89_outfiles/clust_89_stats.txt
7,7,Ebou_R0156,7,4954025,4953901,649112,134457,0.02773,0.007907,110820,1807,../epiddrad/clust_89_outfiles/clust_89_stats.txt
8,8,Etri_T6836,7,8212760,8212515,1160271,184870,0.024582,0.007609,150837,5088,../epiddrad/clust_89_outfiles/clust_89_stats.txt
9,9,Etri_T6842,7,7063949,7063757,992297,171519,0.025265,0.007629,140314,4965,../epiddrad/clust_89_outfiles/clust_89_stats.txt
10,10,Snub_R0158,7,6485058,6484885,935400,155101,0.025656,0.007514,126325,177,../epiddrad/clust_89_outfiles/clust_89_stats.txt
11,11,Snub_R0159,7,4068699,4068603,577990,107526,0.028073,0.007499,88793,162,../epiddrad/clust_89_outfiles/clust_89_stats.txt
0,0,Ahah_R0089a-6M,7,6000000,5999852,1104241,146249,0.030005,0.00788,117970,47,../epiddrad/clust_90_outfiles/clust_90_stats.txt
1,1,Ahah_R0089b-6M,7,6000000,5999855,1158753,154296,0.028753,0.007804,124692,48,../epiddrad/clust_90_outfiles/clust_90_stats.txt
2,2,Ahah_R0090,7,7112002,7111794,1116061,189734,0.025684,0.007563,155146,57,../epiddrad/clust_90_outfiles/clust_90_stats.txt
3,3,Eant_T6857,7,7769532,7769290,1173361,188612,0.024757,0.007342,155378,5336,../epiddrad/clust_90_outfiles/clust_90_stats.txt
4,4,Eant_T6859a,7,7208562,7208352,1116589,179758,0.02456,0.007289,149086,5833,../epiddrad/clust_90_outfiles/clust_90_stats.txt
5,5,Eant_T6859b,7,6156931,6156773,898967,158308,0.025745,0.007314,131442,5812,../epiddrad/clust_90_outfiles/clust_90_stats.txt
6,6,Ebou_R0153,7,6398901,6398724,843455,160185,0.026408,0.007719,132014,1879,../epiddrad/clust_90_outfiles/clust_90_stats.txt
7,7,Ebou_R0156,7,4954025,4953901,671152,137141,0.02705,0.0076,114226,1847,../epiddrad/clust_90_outfiles/clust_90_stats.txt
8,8,Etri_T6836,7,8212760,8212515,1191892,187659,0.023678,0.007322,155039,5311,../epiddrad/clust_90_outfiles/clust_90_stats.txt
9,9,Etri_T6842,7,7063949,7063757,1019722,174302,0.024229,0.007373,144286,5199,../epiddrad/clust_90_outfiles/clust_90_stats.txt
10,10,Snub_R0158,7,6485058,6484885,966039,156945,0.024556,0.007254,129684,151,../epiddrad/clust_90_outfiles/clust_90_stats.txt
11,11,Snub_R0159,7,4068699,4068603,598344,109241,0.027301,0.007263,91243,145,../epiddrad/clust_90_outfiles/clust_90_stats.txt
