,Unnamed: 0,number,variable,sum_var,pis,sum_pis,clust_threshold
4,4,4,9589,164875,3310,87069,../epi2brad/clust_82_outfiles/clust_82_stats.txt
5,5,5,6011,194930,1661,95374,../epi2brad/clust_82_outfiles/clust_82_stats.txt
6,6,6,3815,217820,779,100048,../epi2brad/clust_82_outfiles/clust_82_stats.txt
7,7,7,2077,232359,201,101455,../epi2brad/clust_82_outfiles/clust_82_stats.txt
8,8,8,1152,241575,103,102279,../epi2brad/clust_82_outfiles/clust_82_stats.txt
9,9,9,675,247650,56,102783,../epi2brad/clust_82_outfiles/clust_82_stats.txt
10,10,10,347,251120,7,102853,../epi2brad/clust_82_outfiles/clust_82_stats.txt
11,11,11,195,253265,3,102886,../epi2brad/clust_82_outfiles/clust_82_stats.txt
12,12,12,82,254249,1,102898,../epi2brad/clust_82_outfiles/clust_82_stats.txt
13,13,13,45,254834,0,102898,../epi2brad/clust_82_outfiles/clust_82_stats.txt
14,14,14,19,255100,1,102912,../epi2brad/clust_82_outfiles/clust_82_stats.txt
15,15,15,6,255190,0,102912,../epi2brad/clust_82_outfiles/clust_82_stats.txt
16,16,16,4,255254,0,102912,../epi2brad/clust_82_outfiles/clust_82_stats.txt
0,0,0,49733,0,92681,0,../epi2brad/clust_83_outfiles/clust_83_stats.txt
1,1,1,31950,31950,25915,25915,../epi2brad/clust_83_outfiles/clust_83_stats.txt
2,2,2,23963,79876,13629,53173,../epi2brad/clust_83_outfiles/clust_83_stats.txt
3,3,3,15576,126604,6759,73450,../epi2brad/clust_83_outfiles/clust_83_stats.txt
4,4,4,9615,165064,3353,86862,../epi2brad/clust_83_outfiles/clust_83_stats.txt
5,5,5,6002,195074,1723,95477,../epi2brad/clust_83_outfiles/clust_83_stats.txt
6,6,6,3794,217838,759,100031,../epi2brad/clust_83_outfiles/clust_83_stats.txt
7,7,7,2064,232286,228,101627,../epi2brad/clust_83_outfiles/clust_83_stats.txt
8,8,8,1223,242070,107,102483,../epi2brad/clust_83_outfiles/clust_83_stats.txt
9,9,9,629,247731,41,102852,../epi2brad/clust_83_outfiles/clust_83_stats.txt
10,10,10,331,251041,10,102952,../epi2brad/clust_83_outfiles/clust_83_stats.txt
11,11,11,177,252988,5,103007,../epi2brad/clust_83_outfiles/clust_83_stats.txt
12,12,12,84,253996,2,103031,../epi2brad/clust_83_outfiles/clust_83_stats.txt
13,13,13,41,254529,0,103031,../epi2brad/clust_83_outfiles/clust_83_stats.txt
14,14,14,18,254781,1,103045,../epi2brad/clust_83_outfiles/clust_83_stats.txt
15,15,15,8,254901,0,103045,../epi2brad/clust_83_outfiles/clust_83_stats.txt
16,16,16,1,254917,0,103045,../epi2brad/clust_83_outfiles/clust_83_stats.txt
17,17,17,3,254968,0,103045,../epi2brad/clust_83_outfiles/clust_83_stats.txt
18,18,18,1,254986,0,103045,../epi2brad/clust_83_outfiles/clust_83_stats.txt
0,0,0,52766,0,97229,0,../epi2brad/clust_84_outfiles/clust_84_stats.txt
1,1,1,34080,34080,27132,27132,../epi2brad/clust_84_outfiles/clust_84_stats.txt
2,2,2,25286,84652,14120,55372,../epi2brad/clust_84_outfiles/clust_84_stats.txt
3,3,3,16534,134254,6793,75751,../epi2brad/clust_84_outfiles/clust_84_stats.txt
4,4,4,9843,173626,3184,88487,../epi2brad/clust_84_outfiles/clust_84_stats.txt
5,5,5,5737,202311,1285,94912,../epi2brad/clust_84_outfiles/clust_84_stats.txt
6,6,6,2878,219579,319,96826,../epi2brad/clust_84_outfiles/clust_84_stats.txt
7,7,7,1522,230233,121,97673,../epi2brad/clust_84_outfiles/clust_84_stats.txt
8,8,8,837,236929,56,98121,../epi2brad/clust_84_outfiles/clust_84_stats.txt
9,9,9,399,240520,10,98211,../epi2brad/clust_84_outfiles/clust_84_stats.txt
10,10,10,220,242720,4,98251,../epi2brad/clust_84_outfiles/clust_84_stats.txt
11,11,11,83,243633,0,98251,../epi2brad/clust_84_outfiles/clust_84_stats.txt
12,12,12,37,244077,1,98263,../epi2brad/clust_84_outfiles/clust_84_stats.txt
13,13,13,13,244246,0,98263,../epi2brad/clust_84_outfiles/clust_84_stats.txt
14,14,14,10,244386,0,98263,../epi2brad/clust_84_outfiles/clust_84_stats.txt
15,15,15,6,244476,0,98263,../epi2brad/clust_84_outfiles/clust_84_stats.txt
16,16,16,2,244508,1,98279,../epi2brad/clust_84_outfiles/clust_84_stats.txt
17,17,17,0,244508,0,98279,../epi2brad/clust_84_outfiles/clust_84_stats.txt
18,18,18,2,244544,0,98279,../epi2brad/clust_84_outfiles/clust_84_stats.txt
0,0,0,52950,0,97448,0,../epi2brad/clust_85_outfiles/clust_85_stats.txt
1,1,1,33849,33849,26983,26983,../epi2brad/clust_85_outfiles/clust_85_stats.txt
2,2,2,25459,84767,14120,55223,../epi2brad/clust_85_outfiles/clust_85_stats.txt
3,3,3,16623,134636,6986,76181,../epi2brad/clust_85_outfiles/clust_85_stats.txt
4,4,4,9844,174012,3100,88581,../epi2brad/clust_85_outfiles/clust_85_stats.txt
5,5,5,5765,202837,1302,95091,../epi2brad/clust_85_outfiles/clust_85_stats.txt
6,6,6,2885,220147,316,96987,../epi2brad/clust_85_outfiles/clust_85_stats.txt
7,7,7,1501,230654,110,97757,../epi2brad/clust_85_outfiles/clust_85_stats.txt
8,8,8,856,237502,60,98237,../epi2brad/clust_85_outfiles/clust_85_stats.txt
9,9,9,373,240859,14,98363,../epi2brad/clust_85_outfiles/clust_85_stats.txt
10,10,10,193,242789,2,98383,../epi2brad/clust_85_outfiles/clust_85_stats.txt
11,11,11,76,243625,1,98394,../epi2brad/clust_85_outfiles/clust_85_stats.txt
12,12,12,29,243973,0,98394,../epi2brad/clust_85_outfiles/clust_85_stats.txt
13,13,13,26,244311,0,98394,../epi2brad/clust_85_outfiles/clust_85_stats.txt
14,14,14,8,244423,1,98408,../epi2brad/clust_85_outfiles/clust_85_stats.txt
15,15,15,5,244498,0,98408,../epi2brad/clust_85_outfiles/clust_85_stats.txt
16,16,16,0,244498,1,98424,../epi2brad/clust_85_outfiles/clust_85_stats.txt
17,17,17,1,244515,0,98424,../epi2brad/clust_85_outfiles/clust_85_stats.txt
18,18,18,1,244533,0,98424,../epi2brad/clust_85_outfiles/clust_85_stats.txt
19,19,19,0,244533,1,98443,../epi2brad/clust_85_outfiles/clust_85_stats.txt
20,20,20,1,244553,0,98443,../epi2brad/clust_85_outfiles/clust_85_stats.txt
0,0,0,52841,0,97150,0,../epi2brad/clust_86_outfiles/clust_86_stats.txt
1,1,1,33903,33903,27034,27034,../epi2brad/clust_86_outfiles/clust_86_stats.txt
2,2,2,25399,84701,14080,55194,../epi2brad/clust_86_outfiles/clust_86_stats.txt
3,3,3,16533,134300,6862,75780,../epi2brad/clust_86_outfiles/clust_86_stats.txt
4,4,4,9662,172948,3104,88196,../epi2brad/clust_86_outfiles/clust_86_stats.txt
5,5,5,5664,201268,1328,94836,../epi2brad/clust_86_outfiles/clust_86_stats.txt
6,6,6,2941,218914,314,96720,../epi2brad/clust_86_outfiles/clust_86_stats.txt
7,7,7,1535,229659,125,97595,../epi2brad/clust_86_outfiles/clust_86_stats.txt
8,8,8,798,236043,60,98075,../epi2brad/clust_86_outfiles/clust_86_stats.txt
9,9,9,420,239823,8,98147,../epi2brad/clust_86_outfiles/clust_86_stats.txt
10,10,10,210,241923,4,98187,../epi2brad/clust_86_outfiles/clust_86_stats.txt
11,11,11,102,243045,1,98198,../epi2brad/clust_86_outfiles/clust_86_stats.txt
12,12,12,37,243489,1,98210,../epi2brad/clust_86_outfiles/clust_86_stats.txt
13,13,13,13,243658,0,98210,../epi2brad/clust_86_outfiles/clust_86_stats.txt
14,14,14,8,243770,0,98210,../epi2brad/clust_86_outfiles/clust_86_stats.txt
15,15,15,5,243845,0,98210,../epi2brad/clust_86_outfiles/clust_86_stats.txt
16,16,16,0,243845,1,98226,../epi2brad/clust_86_outfiles/clust_86_stats.txt
17,17,17,0,243845,0,98226,../epi2brad/clust_86_outfiles/clust_86_stats.txt
18,18,18,1,243863,0,98226,../epi2brad/clust_86_outfiles/clust_86_stats.txt
0,0,0,57392,0,103963,0,../epi2brad/clust_87_outfiles/clust_87_stats.txt
1,1,1,36754,36754,28647,28647,../epi2brad/clust_87_outfiles/clust_87_stats.txt
2,2,2,27696,92146,14913,58473,../epi2brad/clust_87_outfiles/clust_87_stats.txt
3,3,3,17777,145477,6795,78858,../epi2brad/clust_87_outfiles/clust_87_stats.txt
4,4,4,9585,183817,2462,88706,../epi2brad/clust_87_outfiles/clust_87_stats.txt
5,5,5,4397,205802,556,91486,../epi2brad/clust_87_outfiles/clust_87_stats.txt
6,6,6,2135,218612,150,92386,../epi2brad/clust_87_outfiles/clust_87_stats.txt
7,7,7,1052,225976,58,92792,../epi2brad/clust_87_outfiles/clust_87_stats.txt
8,8,8,442,229512,23,92976,../epi2brad/clust_87_outfiles/clust_87_stats.txt
9,9,9,200,231312,7,93039,../epi2brad/clust_87_outfiles/clust_87_stats.txt
10,10,10,89,232202,3,93069,../epi2brad/clust_87_outfiles/clust_87_stats.txt
11,11,11,33,232565,0,93069,../epi2brad/clust_87_outfiles/clust_87_stats.txt
12,12,12,21,232817,0,93069,../epi2brad/clust_87_outfiles/clust_87_stats.txt
13,13,13,3,232856,0,93069,../epi2brad/clust_87_outfiles/clust_87_stats.txt
14,14,14,1,232870,0,93069,../epi2brad/clust_87_outfiles/clust_87_stats.txt
0,0,0,57490,0,104013,0,../epi2brad/clust_88_outfiles/clust_88_stats.txt
1,1,1,36822,36822,28697,28697,../epi2brad/clust_88_outfiles/clust_88_stats.txt
2,2,2,27690,92202,14697,58091,../epi2brad/clust_88_outfiles/clust_88_stats.txt
3,3,3,17694,145284,6869,78698,../epi2brad/clust_88_outfiles/clust_88_stats.txt
4,4,4,9602,183692,2432,88426,../epi2brad/clust_88_outfiles/clust_88_stats.txt
5,5,5,4350,205442,536,91106,../epi2brad/clust_88_outfiles/clust_88_stats.txt
6,6,6,2057,217784,163,92084,../epi2brad/clust_88_outfiles/clust_88_stats.txt
7,7,7,999,224777,59,92497,../epi2brad/clust_88_outfiles/clust_88_stats.txt
8,8,8,444,228329,18,92641,../epi2brad/clust_88_outfiles/clust_88_stats.txt
9,9,9,193,230066,4,92677,../epi2brad/clust_88_outfiles/clust_88_stats.txt
10,10,10,84,230906,1,92687,../epi2brad/clust_88_outfiles/clust_88_stats.txt
11,11,11,43,231379,0,92687,../epi2brad/clust_88_outfiles/clust_88_stats.txt
12,12,12,15,231559,0,92687,../epi2brad/clust_88_outfiles/clust_88_stats.txt
13,13,13,5,231624,0,92687,../epi2brad/clust_88_outfiles/clust_88_stats.txt
14,14,14,0,231624,0,92687,../epi2brad/clust_88_outfiles/clust_88_stats.txt
15,15,15,0,231624,0,92687,../epi2brad/clust_88_outfiles/clust_88_stats.txt
16,16,16,0,231624,0,92687,../epi2brad/clust_88_outfiles/clust_88_stats.txt
17,17,17,0,231624,0,92687,../epi2brad/clust_88_outfiles/clust_88_stats.txt
18,18,18,1,231642,0,92687,../epi2brad/clust_88_outfiles/clust_88_stats.txt
0,0,0,64221,0,113565,0,../epi2brad/clust_89_outfiles/clust_89_stats.txt
1,1,1,41247,41247,30900,30900,../epi2brad/clust_89_outfiles/clust_89_stats.txt
2,2,2,31115,103477,15296,61492,../epi2brad/clust_89_outfiles/clust_89_stats.txt
3,3,3,18074,157699,5756,78760,../epi2brad/clust_89_outfiles/clust_89_stats.txt
4,4,4,7173,186391,935,82500,../epi2brad/clust_89_outfiles/clust_89_stats.txt
5,5,5,3013,201456,256,83780,../epi2brad/clust_89_outfiles/clust_89_stats.txt
6,6,6,1162,208428,53,84098,../epi2brad/clust_89_outfiles/clust_89_stats.txt
7,7,7,500,211928,21,84245,../epi2brad/clust_89_outfiles/clust_89_stats.txt
8,8,8,169,213280,2,84261,../epi2brad/clust_89_outfiles/clust_89_stats.txt
9,9,9,71,213919,4,84297,../epi2brad/clust_89_outfiles/clust_89_stats.txt
10,10,10,26,214179,0,84297,../epi2brad/clust_89_outfiles/clust_89_stats.txt
11,11,11,9,214278,1,84308,../epi2brad/clust_89_outfiles/clust_89_stats.txt
12,12,12,4,214326,0,84308,../epi2brad/clust_89_outfiles/clust_89_stats.txt
13,13,13,2,214352,0,84308,../epi2brad/clust_89_outfiles/clust_89_stats.txt
14,14,14,0,214352,0,84308,../epi2brad/clust_89_outfiles/clust_89_stats.txt
15,15,15,1,214367,0,84308,../epi2brad/clust_89_outfiles/clust_89_stats.txt
16,16,16,1,214383,0,84308,../epi2brad/clust_89_outfiles/clust_89_stats.txt
17,17,17,1,214400,0,84308,../epi2brad/clust_89_outfiles/clust_89_stats.txt
0,0,0,64370,0,113975,0,../epi2brad/clust_90_outfiles/clust_90_stats.txt
1,1,1,41490,41490,31196,31196,../epi2brad/clust_90_outfiles/clust_90_stats.txt
2,2,2,31103,103696,15370,61936,../epi2brad/clust_90_outfiles/clust_90_stats.txt
3,3,3,18325,158671,5764,79228,../epi2brad/clust_90_outfiles/clust_90_stats.txt
4,4,4,7260,187711,929,82944,../epi2brad/clust_90_outfiles/clust_90_stats.txt
5,5,5,3060,203011,220,84044,../epi2brad/clust_90_outfiles/clust_90_stats.txt
6,6,6,1180,210091,60,84404,../epi2brad/clust_90_outfiles/clust_90_stats.txt
7,7,7,478,213437,14,84502,../epi2brad/clust_90_outfiles/clust_90_stats.txt
8,8,8,175,214837,5,84542,../epi2brad/clust_90_outfiles/clust_90_stats.txt
9,9,9,61,215386,3,84569,../epi2brad/clust_90_outfiles/clust_90_stats.txt
10,10,10,21,215596,0,84569,../epi2brad/clust_90_outfiles/clust_90_stats.txt
11,11,11,8,215684,0,84569,../epi2brad/clust_90_outfiles/clust_90_stats.txt
12,12,12,4,215732,0,84569,../epi2brad/clust_90_outfiles/clust_90_stats.txt
13,13,13,1,215745,0,84569,../epi2brad/clust_90_outfiles/clust_90_stats.txt
0,0,0,64586,0,114007,0,../epi2brad/clust_91_outfiles/clust_91_stats.txt
1,1,1,41325,41325,30992,30992,../epi2brad/clust_91_outfiles/clust_91_stats.txt
2,2,2,31134,103593,15414,61820,../epi2brad/clust_91_outfiles/clust_91_stats.txt
3,3,3,18253,158352,5758,79094,../epi2brad/clust_91_outfiles/clust_91_stats.txt
4,4,4,7153,186964,1002,83102,../epi2brad/clust_91_outfiles/clust_91_stats.txt
5,5,5,3047,202199,223,84217,../epi2brad/clust_91_outfiles/clust_91_stats.txt
6,6,6,1238,209627,51,84523,../epi2brad/clust_91_outfiles/clust_91_stats.txt
7,7,7,477,212966,14,84621,../epi2brad/clust_91_outfiles/clust_91_stats.txt
8,8,8,154,214198,4,84653,../epi2brad/clust_91_outfiles/clust_91_stats.txt
9,9,9,66,214792,1,84662,../epi2brad/clust_91_outfiles/clust_91_stats.txt
10,10,10,21,215002,0,84662,../epi2brad/clust_91_outfiles/clust_91_stats.txt
11,11,11,6,215068,0,84662,../epi2brad/clust_91_outfiles/clust_91_stats.txt
12,12,12,2,215092,0,84662,../epi2brad/clust_91_outfiles/clust_91_stats.txt
13,13,13,4,215144,0,84662,../epi2brad/clust_91_outfiles/clust_91_stats.txt
0,0,0,78136,0,133575,0,../epi2brad/clust_92_outfiles/clust_92_stats.txt
1,1,1,51885,51885,34836,34836,../epi2brad/clust_92_outfiles/clust_92_stats.txt
2,2,2,35500,122885,13820,62476,../epi2brad/clust_92_outfiles/clust_92_stats.txt
3,3,3,12498,160379,1703,67585,../epi2brad/clust_92_outfiles/clust_92_stats.txt
4,4,4,4262,177427,262,68633,../epi2brad/clust_92_outfiles/clust_92_stats.txt
5,5,5,1360,184227,35,68808,../epi2brad/clust_92_outfiles/clust_92_stats.txt
6,6,6,437,186849,14,68892,../epi2brad/clust_92_outfiles/clust_92_stats.txt
7,7,7,123,187710,1,68899,../epi2brad/clust_92_outfiles/clust_92_stats.txt
8,8,8,29,187942,0,68899,../epi2brad/clust_92_outfiles/clust_92_stats.txt
9,9,9,8,188014,0,68899,../epi2brad/clust_92_outfiles/clust_92_stats.txt
10,10,10,4,188054,0,68899,../epi2brad/clust_92_outfiles/clust_92_stats.txt
11,11,11,3,188087,0,68899,../epi2brad/clust_92_outfiles/clust_92_stats.txt
12,12,12,1,188099,0,68899,../epi2brad/clust_92_outfiles/clust_92_stats.txt
0,0,0,78890,0,135139,0,../epi2brad/clust_93_outfiles/clust_93_stats.txt
1,1,1,52549,52549,35003,35003,../epi2brad/clust_93_outfiles/clust_93_stats.txt
2,2,2,36058,124665,14112,63227,../epi2brad/clust_93_outfiles/clust_93_stats.txt
3,3,3,12719,162822,1812,68663,../epi2brad/clust_93_outfiles/clust_93_stats.txt
4,4,4,4247,179810,247,69651,../epi2brad/clust_93_outfiles/clust_93_stats.txt
5,5,5,1319,186405,31,69806,../epi2brad/clust_93_outfiles/clust_93_stats.txt
6,6,6,392,188757,8,69854,../epi2brad/clust_93_outfiles/clust_93_stats.txt
7,7,7,136,189709,2,69868,../epi2brad/clust_93_outfiles/clust_93_stats.txt
8,8,8,29,189941,0,69868,../epi2brad/clust_93_outfiles/clust_93_stats.txt
9,9,9,10,190031,1,69877,../epi2brad/clust_93_outfiles/clust_93_stats.txt
10,10,10,4,190071,0,69877,../epi2brad/clust_93_outfiles/clust_93_stats.txt
11,11,11,1,190082,0,69877,../epi2brad/clust_93_outfiles/clust_93_stats.txt
12,12,12,1,190094,0,69877,../epi2brad/clust_93_outfiles/clust_93_stats.txt
0,0,0,78579,0,134346,0,../epi2brad/clust_94_outfiles/clust_94_stats.txt
1,1,1,52096,52096,34745,34745,../epi2brad/clust_94_outfiles/clust_94_stats.txt
2,2,2,35791,123678,13953,62651,../epi2brad/clust_94_outfiles/clust_94_stats.txt
3,3,3,12582,161424,1753,67910,../epi2brad/clust_94_outfiles/clust_94_stats.txt
4,4,4,4200,178224,268,68982,../epi2brad/clust_94_outfiles/clust_94_stats.txt
5,5,5,1291,184679,25,69107,../epi2brad/clust_94_outfiles/clust_94_stats.txt
6,6,6,380,186959,5,69137,../epi2brad/clust_94_outfiles/clust_94_stats.txt
7,7,7,127,187848,2,69151,../epi2brad/clust_94_outfiles/clust_94_stats.txt
8,8,8,41,188176,1,69159,../epi2brad/clust_94_outfiles/clust_94_stats.txt
9,9,9,6,188230,1,69168,../epi2brad/clust_94_outfiles/clust_94_stats.txt
10,10,10,5,188280,0,69168,../epi2brad/clust_94_outfiles/clust_94_stats.txt
11,11,11,1,188291,0,69168,../epi2brad/clust_94_outfiles/clust_94_stats.txt
0,0,0,114255,0,176271,0,../epi2brad/clust_95_outfiles/clust_95_stats.txt
1,1,1,77104,77104,36674,36674,../epi2brad/clust_95_outfiles/clust_95_stats.txt
2,2,2,19751,116606,2183,41040,../epi2brad/clust_95_outfiles/clust_95_stats.txt
3,3,3,3466,127004,82,41286,../epi2brad/clust_95_outfiles/clust_95_stats.txt
4,4,4,532,129132,10,41326,../epi2brad/clust_95_outfiles/clust_95_stats.txt
5,5,5,88,129572,8,41366,../epi2brad/clust_95_outfiles/clust_95_stats.txt
6,6,6,18,129680,2,41378,../epi2brad/clust_95_outfiles/clust_95_stats.txt
7,7,7,9,129743,1,41385,../epi2brad/clust_95_outfiles/clust_95_stats.txt
8,8,8,5,129783,0,41385,../epi2brad/clust_95_outfiles/clust_95_stats.txt
9,9,9,2,129801,0,41385,../epi2brad/clust_95_outfiles/clust_95_stats.txt
10,10,10,1,129811,0,41385,../epi2brad/clust_95_outfiles/clust_95_stats.txt
