,Unnamed: 0,number,locus_coverage,sum_coverage,clust_threshold
0,0,1,0,0,../epi2brad/clust_84_outfiles/clust_84_stats.txt
1,1,2,0,0,../epi2brad/clust_84_outfiles/clust_84_stats.txt
2,2,3,76728,76728,../epi2brad/clust_84_outfiles/clust_84_stats.txt
3,3,4,24958,101686,../epi2brad/clust_84_outfiles/clust_84_stats.txt
4,4,5,19340,121026,../epi2brad/clust_84_outfiles/clust_84_stats.txt
5,5,6,10495,131521,../epi2brad/clust_84_outfiles/clust_84_stats.txt
6,6,7,9421,140942,../epi2brad/clust_84_outfiles/clust_84_stats.txt
7,7,8,3136,144078,../epi2brad/clust_84_outfiles/clust_84_stats.txt
8,8,9,3139,147217,../epi2brad/clust_84_outfiles/clust_84_stats.txt
9,9,10,1229,148446,../epi2brad/clust_84_outfiles/clust_84_stats.txt
10,10,11,981,149427,../epi2brad/clust_84_outfiles/clust_84_stats.txt
11,11,12,828,150255,../epi2brad/clust_84_outfiles/clust_84_stats.txt
0,0,1,0,0,../epi2brad/clust_85_outfiles/clust_85_stats.txt
1,1,2,0,0,../epi2brad/clust_85_outfiles/clust_85_stats.txt
2,2,3,76956,76956,../epi2brad/clust_85_outfiles/clust_85_stats.txt
3,3,4,24844,101800,../epi2brad/clust_85_outfiles/clust_85_stats.txt
4,4,5,19402,121202,../epi2brad/clust_85_outfiles/clust_85_stats.txt
5,5,6,10449,131651,../epi2brad/clust_85_outfiles/clust_85_stats.txt
6,6,7,9415,141066,../epi2brad/clust_85_outfiles/clust_85_stats.txt
7,7,8,3209,144275,../epi2brad/clust_85_outfiles/clust_85_stats.txt
8,8,9,3138,147413,../epi2brad/clust_85_outfiles/clust_85_stats.txt
9,9,10,1229,148642,../epi2brad/clust_85_outfiles/clust_85_stats.txt
10,10,11,978,149620,../epi2brad/clust_85_outfiles/clust_85_stats.txt
11,11,12,825,150445,../epi2brad/clust_85_outfiles/clust_85_stats.txt
0,0,1,0,0,../epi2brad/clust_86_outfiles/clust_86_stats.txt
1,1,2,0,0,../epi2brad/clust_86_outfiles/clust_86_stats.txt
2,2,3,76659,76659,../epi2brad/clust_86_outfiles/clust_86_stats.txt
3,3,4,24862,101521,../epi2brad/clust_86_outfiles/clust_86_stats.txt
4,4,5,19367,120888,../epi2brad/clust_86_outfiles/clust_86_stats.txt
5,5,6,10523,131411,../epi2brad/clust_86_outfiles/clust_86_stats.txt
6,6,7,9376,140787,../epi2brad/clust_86_outfiles/clust_86_stats.txt
7,7,8,3175,143962,../epi2brad/clust_86_outfiles/clust_86_stats.txt
8,8,9,3102,147064,../epi2brad/clust_86_outfiles/clust_86_stats.txt
9,9,10,1205,148269,../epi2brad/clust_86_outfiles/clust_86_stats.txt
10,10,11,978,149247,../epi2brad/clust_86_outfiles/clust_86_stats.txt
11,11,12,825,150072,../epi2brad/clust_86_outfiles/clust_86_stats.txt
0,0,1,0,0,../epi2brad/clust_87_outfiles/clust_87_stats.txt
1,1,2,0,0,../epi2brad/clust_87_outfiles/clust_87_stats.txt
2,2,3,82264,82264,../epi2brad/clust_87_outfiles/clust_87_stats.txt
3,3,4,25927,108191,../epi2brad/clust_87_outfiles/clust_87_stats.txt
4,4,5,20108,128299,../epi2brad/clust_87_outfiles/clust_87_stats.txt
5,5,6,10616,138915,../epi2brad/clust_87_outfiles/clust_87_stats.txt
6,6,7,9581,148496,../epi2brad/clust_87_outfiles/clust_87_stats.txt
7,7,8,3112,151608,../epi2brad/clust_87_outfiles/clust_87_stats.txt
8,8,9,3030,154638,../epi2brad/clust_87_outfiles/clust_87_stats.txt
9,9,10,1155,155793,../epi2brad/clust_87_outfiles/clust_87_stats.txt
10,10,11,964,156757,../epi2brad/clust_87_outfiles/clust_87_stats.txt
11,11,12,820,157577,../epi2brad/clust_87_outfiles/clust_87_stats.txt
0,0,1,0,0,../epi2brad/clust_88_outfiles/clust_88_stats.txt
1,1,2,0,0,../epi2brad/clust_88_outfiles/clust_88_stats.txt
2,2,3,82194,82194,../epi2brad/clust_88_outfiles/clust_88_stats.txt
3,3,4,26069,108263,../epi2brad/clust_88_outfiles/clust_88_stats.txt
4,4,5,20125,128388,../epi2brad/clust_88_outfiles/clust_88_stats.txt
5,5,6,10499,138887,../epi2brad/clust_88_outfiles/clust_88_stats.txt
6,6,7,9504,148391,../epi2brad/clust_88_outfiles/clust_88_stats.txt
7,7,8,3135,151526,../epi2brad/clust_88_outfiles/clust_88_stats.txt
8,8,9,3026,154552,../epi2brad/clust_88_outfiles/clust_88_stats.txt
9,9,10,1169,155721,../epi2brad/clust_88_outfiles/clust_88_stats.txt
10,10,11,960,156681,../epi2brad/clust_88_outfiles/clust_88_stats.txt
11,11,12,808,157489,../epi2brad/clust_88_outfiles/clust_88_stats.txt
0,0,1,0,0,../epi2brad/clust_89_outfiles/clust_89_stats.txt
1,1,2,0,0,../epi2brad/clust_89_outfiles/clust_89_stats.txt
2,2,3,90015,90015,../epi2brad/clust_89_outfiles/clust_89_stats.txt
3,3,4,27343,117358,../epi2brad/clust_89_outfiles/clust_89_stats.txt
4,4,5,20909,138267,../epi2brad/clust_89_outfiles/clust_89_stats.txt
5,5,6,10516,148783,../epi2brad/clust_89_outfiles/clust_89_stats.txt
6,6,7,9528,158311,../epi2brad/clust_89_outfiles/clust_89_stats.txt
7,7,8,2929,161240,../epi2brad/clust_89_outfiles/clust_89_stats.txt
8,8,9,2817,164057,../epi2brad/clust_89_outfiles/clust_89_stats.txt
9,9,10,1119,165176,../epi2brad/clust_89_outfiles/clust_89_stats.txt
10,10,11,878,166054,../epi2brad/clust_89_outfiles/clust_89_stats.txt
11,11,12,735,166789,../epi2brad/clust_89_outfiles/clust_89_stats.txt
0,0,1,0,0,../epi2brad/clust_90_outfiles/clust_90_stats.txt
1,1,2,0,0,../epi2brad/clust_90_outfiles/clust_90_stats.txt
2,2,3,90494,90494,../epi2brad/clust_90_outfiles/clust_90_stats.txt
3,3,4,27510,118004,../epi2brad/clust_90_outfiles/clust_90_stats.txt
4,4,5,21071,139075,../epi2brad/clust_90_outfiles/clust_90_stats.txt
5,5,6,10495,149570,../epi2brad/clust_90_outfiles/clust_90_stats.txt
6,6,7,9468,159038,../epi2brad/clust_90_outfiles/clust_90_stats.txt
7,7,8,2959,161997,../epi2brad/clust_90_outfiles/clust_90_stats.txt
8,8,9,2832,164829,../epi2brad/clust_90_outfiles/clust_90_stats.txt
9,9,10,1091,165920,../epi2brad/clust_90_outfiles/clust_90_stats.txt
10,10,11,874,166794,../epi2brad/clust_90_outfiles/clust_90_stats.txt
11,11,12,742,167536,../epi2brad/clust_90_outfiles/clust_90_stats.txt
0,0,1,0,0,../epi2brad/clust_91_outfiles/clust_91_stats.txt
1,1,2,0,0,../epi2brad/clust_91_outfiles/clust_91_stats.txt
2,2,3,90437,90437,../epi2brad/clust_91_outfiles/clust_91_stats.txt
3,3,4,27421,117858,../epi2brad/clust_91_outfiles/clust_91_stats.txt
4,4,5,20990,138848,../epi2brad/clust_91_outfiles/clust_91_stats.txt
5,5,6,10625,149473,../epi2brad/clust_91_outfiles/clust_91_stats.txt
6,6,7,9511,158984,../epi2brad/clust_91_outfiles/clust_91_stats.txt
7,7,8,2923,161907,../epi2brad/clust_91_outfiles/clust_91_stats.txt
8,8,9,2871,164778,../epi2brad/clust_91_outfiles/clust_91_stats.txt
9,9,10,1091,165869,../epi2brad/clust_91_outfiles/clust_91_stats.txt
10,10,11,873,166742,../epi2brad/clust_91_outfiles/clust_91_stats.txt
11,11,12,724,167466,../epi2brad/clust_91_outfiles/clust_91_stats.txt
0,0,1,0,0,../epi2brad/clust_92_outfiles/clust_92_stats.txt
1,1,2,0,0,../epi2brad/clust_92_outfiles/clust_92_stats.txt
2,2,3,106398,106398,../epi2brad/clust_92_outfiles/clust_92_stats.txt
3,3,4,29870,136268,../epi2brad/clust_92_outfiles/clust_92_stats.txt
4,4,5,21971,158239,../epi2brad/clust_92_outfiles/clust_92_stats.txt
5,5,6,10179,168418,../epi2brad/clust_92_outfiles/clust_92_stats.txt
6,6,7,8652,177070,../epi2brad/clust_92_outfiles/clust_92_stats.txt
7,7,8,2549,179619,../epi2brad/clust_92_outfiles/clust_92_stats.txt
8,8,9,2383,182002,../epi2brad/clust_92_outfiles/clust_92_stats.txt
9,9,10,923,182925,../epi2brad/clust_92_outfiles/clust_92_stats.txt
10,10,11,730,183655,../epi2brad/clust_92_outfiles/clust_92_stats.txt
11,11,12,591,184246,../epi2brad/clust_92_outfiles/clust_92_stats.txt
0,0,1,0,0,../epi2brad/clust_93_outfiles/clust_93_stats.txt
1,1,2,0,0,../epi2brad/clust_93_outfiles/clust_93_stats.txt
2,2,3,107758,107758,../epi2brad/clust_93_outfiles/clust_93_stats.txt
3,3,4,30110,137868,../epi2brad/clust_93_outfiles/clust_93_stats.txt
4,4,5,22173,160041,../epi2brad/clust_93_outfiles/clust_93_stats.txt
5,5,6,10197,170238,../epi2brad/clust_93_outfiles/clust_93_stats.txt
6,6,7,8838,179076,../epi2brad/clust_93_outfiles/clust_93_stats.txt
7,7,8,2565,181641,../epi2brad/clust_93_outfiles/clust_93_stats.txt
8,8,9,2435,184076,../epi2brad/clust_93_outfiles/clust_93_stats.txt
9,9,10,928,185004,../epi2brad/clust_93_outfiles/clust_93_stats.txt
10,10,11,746,185750,../epi2brad/clust_93_outfiles/clust_93_stats.txt
11,11,12,605,186355,../epi2brad/clust_93_outfiles/clust_93_stats.txt
0,0,1,0,0,../epi2brad/clust_94_outfiles/clust_94_stats.txt
1,1,2,0,0,../epi2brad/clust_94_outfiles/clust_94_stats.txt
2,2,3,107059,107059,../epi2brad/clust_94_outfiles/clust_94_stats.txt
3,3,4,30042,137101,../epi2brad/clust_94_outfiles/clust_94_stats.txt
4,4,5,21988,159089,../epi2brad/clust_94_outfiles/clust_94_stats.txt
5,5,6,10270,169359,../epi2brad/clust_94_outfiles/clust_94_stats.txt
6,6,7,8582,177941,../epi2brad/clust_94_outfiles/clust_94_stats.txt
7,7,8,2537,180478,../epi2brad/clust_94_outfiles/clust_94_stats.txt
8,8,9,2370,182848,../epi2brad/clust_94_outfiles/clust_94_stats.txt
9,9,10,923,183771,../epi2brad/clust_94_outfiles/clust_94_stats.txt
10,10,11,739,184510,../epi2brad/clust_94_outfiles/clust_94_stats.txt
11,11,12,589,185099,../epi2brad/clust_94_outfiles/clust_94_stats.txt
0,0,1,0,0,../epi2brad/clust_95_outfiles/clust_95_stats.txt
1,1,2,0,0,../epi2brad/clust_95_outfiles/clust_95_stats.txt
2,2,3,137849,137849,../epi2brad/clust_95_outfiles/clust_95_stats.txt
3,3,4,33753,171602,../epi2brad/clust_95_outfiles/clust_95_stats.txt
4,4,5,23004,194606,../epi2brad/clust_95_outfiles/clust_95_stats.txt
5,5,6,8840,203446,../epi2brad/clust_95_outfiles/clust_95_stats.txt
6,6,7,6768,210214,../epi2brad/clust_95_outfiles/clust_95_stats.txt
7,7,8,1820,212034,../epi2brad/clust_95_outfiles/clust_95_stats.txt
8,8,9,1704,213738,../epi2brad/clust_95_outfiles/clust_95_stats.txt
9,9,10,620,214358,../epi2brad/clust_95_outfiles/clust_95_stats.txt
10,10,11,499,214857,../epi2brad/clust_95_outfiles/clust_95_stats.txt
11,11,12,374,215231,../epi2brad/clust_95_outfiles/clust_95_stats.txt
